observation_label,reference_level,log_return,sign_label,source_label
synthetic-001,100.00,0.004,positive,fixture
synthetic-002,100.10,-0.002,negative,fixture
synthetic-003,100.20,0.002,positive,fixture
synthetic-004,100.30,-0.001,negative,fixture
synthetic-005,100.40,0.004,positive,fixture
synthetic-006,100.50,-0.002,negative,fixture
synthetic-007,100.60,0.002,positive,fixture
synthetic-008,100.70,-0.001,negative,fixture
synthetic-009,100.80,0.004,positive,fixture
synthetic-010,100.90,-0.002,negative,fixture
synthetic-011,101.00,0.002,positive,fixture
synthetic-012,101.10,-0.001,negative,fixture
synthetic-013,101.20,0.004,positive,fixture
synthetic-014,101.30,-0.002,negative,fixture
synthetic-015,101.40,0.002,positive,fixture
synthetic-016,101.50,-0.001,negative,fixture
synthetic-017,101.60,0.002,positive,fixture
synthetic-018,101.70,-0.001,negative,fixture
synthetic-019,101.80,0.000,flat,fixture
synthetic-020,101.90,0.000,flat,fixture
synthetic-021,102.00,0.002,positive,fixture
synthetic-022,102.10,-0.002,negative,fixture
synthetic-023,102.20,0.001,positive,fixture
synthetic-024,102.30,-0.001,negative,fixture
synthetic-025,102.40,0.004,positive,fixture
synthetic-026,102.50,-0.002,negative,fixture
synthetic-027,102.60,0.002,positive,fixture
synthetic-028,102.70,-0.001,negative,fixture
synthetic-029,102.80,0.005,positive,fixture
synthetic-030,102.90,-0.005,negative,fixture
synthetic-031,103.00,0.003,positive,fixture
synthetic-032,103.10,-0.001,negative,fixture
synthetic-033,103.20,0.007,positive,fixture
synthetic-034,103.30,-0.002,negative,fixture
synthetic-035,103.40,0.001,positive,fixture
synthetic-036,103.50,-0.001,negative,fixture
synthetic-037,103.60,0.004,positive,fixture
synthetic-038,103.70,-0.002,negative,fixture
synthetic-039,103.80,0.002,positive,fixture
synthetic-040,103.90,-0.001,negative,fixture
synthetic-041,104.00,0.003,positive,fixture
synthetic-042,104.10,-0.002,negative,fixture
synthetic-043,104.20,0.001,positive,fixture
synthetic-044,104.30,-0.001,negative,fixture
synthetic-045,104.40,0.002,positive,fixture
synthetic-046,104.50,-0.001,negative,fixture
synthetic-047,104.60,0.000,flat,fixture
synthetic-048,104.70,0.000,flat,fixture
synthetic-049,104.80,0.003,positive,fixture
synthetic-050,104.90,-0.002,negative,fixture
synthetic-051,105.00,0.001,positive,fixture
synthetic-052,105.10,-0.001,negative,fixture
synthetic-053,105.20,0.005,positive,fixture
synthetic-054,105.30,-0.003,negative,fixture
synthetic-055,105.40,0.001,positive,fixture
synthetic-056,105.50,0.000,flat,fixture
synthetic-057,105.60,0.003,positive,fixture
synthetic-058,105.70,-0.002,negative,fixture
synthetic-059,105.80,0.001,positive,fixture
synthetic-060,105.90,-0.001,negative,fixture
synthetic-061,106.00,0.005,positive,fixture
synthetic-062,106.10,-0.003,negative,fixture
synthetic-063,106.20,0.001,positive,fixture
synthetic-064,106.30,0.000,flat,fixture
